# SYNTHETIC DATA — generated by training/generate_data.py. Fabricated, not real banking data.
product_id,lender,product_name,purposes,annual_rate,min_amount,max_amount,min_tenure_months,max_tenure_months,min_credit_score,min_monthly_income,processing_fee_pct,SYNTHETIC
PL-411,Harbourline Finance,Harbourline QuickCash,PERSONAL,18.5,20000,350000,3,24,560,12000,3.2,TRUE
PL-412,Sundial Credit Union,Sundial PersonalCare,PERSONAL|MEDICAL,14.2,60000,1100000,12,48,640,25000,1.7,TRUE
PL-413,Cobalt Money,Cobalt Gold Personal,PERSONAL,13.0,150000,2200000,12,60,700,40000,1.3,TRUE
PL-414,Anvil Credit,Anvil Personal Secure,PERSONAL,12.3,100000,1500000,12,60,690,32000,1.4,TRUE
PL-415,Ironvale Capital,Ironvale Payday Saver,PERSONAL,15.0,30000,600000,3,36,590,15000,2.0,TRUE
BL-601,Anvil Credit,Anvil Business Growth,BUSINESS,13.25,500000,9000000,24,120,740,85000,1.25,TRUE
BL-602,Ironvale Capital,Ironvale Trade Line,BUSINESS,15.75,250000,4000000,12,84,690,55000,2.0,TRUE
BL-603,Cobalt Money,Cobalt Seed Working Capital,BUSINESS,18.5,100000,1500000,12,48,630,30000,2.5,TRUE
BL-604,Meridian Bank,Meridian SME Power,BUSINESS,12.0,700000,20000000,24,120,770,100000,1.0,TRUE
BL-605,Kestrel Housing Finance,Kestrel Business Prime,BUSINESS,12.9,500000,10000000,24,120,740,75000,1.2,TRUE
BL-606,Sundial Credit Union,Sundial Micro Business,BUSINESS,15.0,100000,1500000,12,60,650,30000,2.2,TRUE
BL-607,Cobalt Money,Cobalt Startup Fuel,BUSINESS,19.0,100000,2000000,12,60,620,35000,2.8,TRUE
BL-608,Ironvale Capital,Ironvale Expansion Fund,BUSINESS,13.8,1000000,30000000,36,180,760,150000,1.2,TRUE
BL-609,Harbourline Finance,Harbourline Trade Finance,BUSINESS,14.5,300000,5000000,12,84,700,50000,2.0,TRUE
BL-610,Meridian Bank,Meridian Inventory Loan,BUSINESS,12.8,400000,12000000,6,60,720,60000,1.5,TRUE
BL-611,Anvil Credit,Anvil Commercial Ladder,BUSINESS,13.6,500000,15000000,24,120,730,80000,1.3,TRUE
BL-612,Sundial Credit Union,Sundial Vendor Finance,BUSINESS,14.9,150000,2500000,6,48,660,30000,2.1,TRUE
BL-613,Kestrel Housing Finance,Kestrel Machinery Loan,BUSINESS,12.4,800000,18000000,24,120,740,90000,1.1,TRUE
BL-614,Ironvale Capital,Ironvale Export Credit,BUSINESS,12.6,1000000,20000000,12,120,750,100000,1.2,TRUE
BL-615,Cobalt Money,Cobalt Working Capital Plus,BUSINESS,16.0,200000,4000000,6,48,680,40000,2.0,TRUE
ML-501,Sundial Credit Union,Sundial Care,MEDICAL,11.25,60000,1500000,12,60,640,22000,0.75,TRUE
ML-502,Meridian Bank,Meridian Health Shield,MEDICAL,10.5,100000,3000000,12,60,720,45000,0.8,TRUE
ML-503,Kestrel Housing Finance,Kestrel Medical Prime,MEDICAL,11.0,100000,2500000,12,60,680,35000,0.9,TRUE
ML-504,Anvil Credit,Anvil CareFlex,MEDICAL,12.4,50000,1500000,12,60,660,28000,1.2,TRUE
ML-505,Cobalt Money,Cobalt Healing Fund,MEDICAL,12.9,30000,800000,6,48,600,20000,1.5,TRUE
ML-506,Harbourline Finance,Harbourline Surgery Loan,MEDICAL,11.8,100000,3500000,12,72,690,40000,1.0,TRUE
ML-507,Meridian Bank,Meridian Family Health,MEDICAL,10.2,150000,4000000,12,60,740,52000,0.8,TRUE
ML-508,Sundial Credit Union,Sundial Hospital Care,MEDICAL,11.5,60000,1200000,6,48,620,20000,1.1,TRUE
ML-509,Ironvale Capital,Ironvale Medicore,MEDICAL,11.9,80000,2000000,12,60,670,30000,1.2,TRUE
ML-510,Kestrel Housing Finance,Kestrel Emergency Care,MEDICAL,11.4,50000,1000000,6,48,600,18000,1.2,TRUE
ML-511,Cobalt Money,Cobalt Skin & Dental,MEDICAL,13.5,20000,500000,6,36,580,15000,1.8,TRUE
ML-512,Anvil Credit,Anvil Senior Care,MEDICAL,11.2,100000,2200000,12,60,680,32000,1.0,TRUE
ML-513,Meridian Bank,Meridian Preventive Plus,MEDICAL,10.8,120000,2800000,12,60,710,40000,0.9,TRUE
ML-514,Sundial Credit Union,Sundial Maternity Care,MEDICAL,11.6,50000,900000,6,48,620,22000,1.1,TRUE
ML-515,Harbourline Finance,Harbourline HealthFlex,MEDICAL,12.2,40000,1300000,3,60,640,25000,1.3,TRUE
